"","x"
"1",70
"2",70.0497345868669
"3",70.1017518383514
"4",70.1486358559019
"5",70.1959745402784
"6",70.2385548164396
"7",70.2772720825221
"8",70.3280162534079
"9",70.376559282968
"10",70.4218469161782
"11",70.4726457660074
"12",70.5176854151404
"13",70.5666839644759
"14",70.6153795624335
"15",70.6656536920108
"16",70.7166478887539
"17",70.7638871852305
"18",70.8126293565311
"19",70.8615641219451
"20",70.9075666917825
"21",70.9585741357595
"22",71.0107335966023
"23",71.0591385688744
"24",71.1029948558582
"25",71.1513486167083
"26",71.1988364561641
"27",71.2512566327124
"28",71.3032280646191
"29",71.3551780301721
"30",71.4091322656373
"31",71.4597074163668
"32",71.5073770394956
"33",71.5558634765513
"34",71.60820473549
"35",71.65685749082
"36",71.7076308621183
"37",71.7584115462526
"38",71.8108641278109
"39",71.8580115221823
"40",71.9105409699456
"41",71.9573271926902
"42",72.0119995293582
"43",72.0596123278908
"44",72.1132343490004
"45",72.1640058663115
"46",72.2168858972019
"47",72.2721490692604
"48",72.3199344039995
"49",72.3699892100973
"50",72.4227448196075
"51",72.4772282843585
"52",72.5299944484038
"53",72.5856169315716
"54",72.6306793231061
"55",72.6828899843768
"56",72.73558665709
"57",72.7826385938004
"58",72.8321819602541
"59",72.8763698478042
"60",72.9233067960163
"61",72.9729466024445
"62",73.0169680322487
"63",73.0652410502805
"64",73.1236218496873
"65",73.1717584949117
"66",73.2243143497611
"67",73.2762804833284
"68",73.3291697581513
"69",73.381442155011
"70",73.4298049926693
"71",73.4760899319989
"72",73.5272597300223
"73",73.573797748507
"74",73.6203626187035
"75",73.6738270222203
"76",73.7247923689538
"77",73.775399602005
"78",73.8274364298677
"79",73.8755948105286
"80",73.9225742722839
"81",73.9692891677446
"82",74.0160340379527
"83",74.0684592706039
"84",74.1170416442275
"85",74.1655325951386
"86",74.2121568962266
"87",74.2640644241517
"88",74.3127910847697
"89",74.3620429490682
"90",74.4171745054864
"91",74.4710832404892
"92",74.5283297953495
"93",74.5762474527695
"94",74.6294615399725
"95",74.6737761621051
"96",74.7297645264896
"97",74.7795788714574
"98",74.8359765596297
"99",74.8915650441475
"100",74.9410522243708
"101",74.9936532519708
"102",75.0423887195387
"103",75.0961905917368
"104",75.1413895755156
"105",75.1926277244008
"106",75.2414895134531
"107",75.2915969113858
"108",75.3489229500309
"109",75.3971105175992
"110",75.450765092216
"111",75.5061828727912
"112",75.5569374360655
"113",75.6076216805243
"114",75.6536915707891
"115",75.7088598259931
"116",75.7541147667698
"117",75.8001086167411
"118",75.8552281047842
"119",75.9116402014863
"120",75.9625617701527
"121",76.0195726793305
"122",76.0722593830503
"123",76.1255762289349
"124",76.1711193430795
"125",76.2223212299316
"126",76.2697172290337
"127",76.3275384830442
"128",76.3745730314826
"129",76.427802119301
"130",76.4759646124756
"131",76.5366140060034
"132",76.5925237471796
"133",76.6459746059403
"134",76.7013372824976
"135",76.7503727433426
"136",76.7994737546327
"137",76.8511368139398
"138",76.9041762087252
"139",76.9598334479857
"140",77.0121292521646
"141",77.0632258872071
"142",77.1144709978111
"143",77.1678363417789
"144",77.2214788360369
"145",77.2782607855116
"146",77.3314405400531
"147",77.3811329270395
"148",77.4335976016786
"149",77.4879585105756
"150",77.5386579607977
"151",77.5992387838232
"152",77.6495802579379
"153",77.7068127226817
"154",77.7585592627288
"155",77.8138435214903
"156",77.8688076606449
"157",77.9207007404033
"158",77.9734223460435
"159",78.0276813269698
"160",78.0828840723799
"161",78.1348547971842
"162",78.1891772526915
"163",78.2429006082081
"164",78.2928898800107
"165",78.3438481842408
"166",78.3957203490369
"167",78.4495667159667
"168",78.4959519391924
"169",78.5499259871922
"170",78.6018349902626
"171",78.6472568799141
"172",78.7020135316527
"173",78.7606663557923
"174",78.8181779441426
"175",78.869915979686
